[2025-10-15T19:41:56.239Z] POST /api/auth/register 200 | 6ms | IP: 127.0.0.1
[2025-10-15T19:42:01.219Z] POST /api/auth/register 200 | 1ms | IP: 127.0.0.1
[2025-10-15T19:47:02.200Z] POST /api/auth/register 200 | 6ms | IP: 127.0.0.1
[2025-10-15T19:47:30.262Z] POST /api/auth/login 404 | 3ms | IP: 127.0.0.1
[2025-10-15T19:48:13.303Z] POST /api/auth/register 200 | 1ms | IP: 127.0.0.1
[2025-10-15T19:48:22.427Z] POST /api/auth/login 404 | 1ms | IP: 127.0.0.1
[2025-10-17T19:43:13.352Z] POST /api/auth/register 201 | 120ms | IP: 127.0.0.1
[2025-10-17T19:43:40.791Z] POST /api/students 401 | 3ms | IP: 127.0.0.1
[2025-10-17T19:47:48.666Z] POST /api/auth/login 200 | 110ms | IP: 127.0.0.1
[2025-10-17T19:50:53.240Z] POST /api/students 201 | 117ms | IP: 127.0.0.1
[2025-10-17T19:58:08.882Z] POST /api/auth/student-login 200 | 115ms | IP: 127.0.0.1
[2025-10-17T19:58:55.273Z] POST /api/auth/student-login 200 | 118ms | IP: 127.0.0.1
[2025-10-17T20:04:54.161Z] POST /api/auth/student-login 200 | 124ms | IP: 127.0.0.1
[2025-10-17T20:09:50.001Z] POST /api/auth/login 401 | 21ms | IP: 127.0.0.1
[2025-10-17T20:09:50.855Z] POST /api/auth/login 401 | 2ms | IP: 127.0.0.1
[2025-10-17T20:09:51.411Z] POST /api/auth/login 401 | 4ms | IP: 127.0.0.1
[2025-10-17T20:09:54.547Z] POST /api/auth/student-login 401 | 6ms | IP: 127.0.0.1
[2025-10-17T20:09:54.741Z] POST /api/auth/student-login 401 | 4ms | IP: 127.0.0.1
[2025-10-17T20:09:54.908Z] POST /api/auth/student-login 401 | 3ms | IP: 127.0.0.1
[2025-10-17T20:09:55.090Z] POST /api/auth/student-login 401 | 3ms | IP: 127.0.0.1
[2025-10-17T20:10:05.792Z] POST /api/auth/student-login 200 | 117ms | IP: 127.0.0.1
[2025-10-17T20:13:47.553Z] GET /api/attendance/me 401 | 1ms | IP: 127.0.0.1
[2025-10-17T20:19:16.947Z] GET /api/attendance/me 200 | 34ms | IP: 127.0.0.1
